gene1	gene2	Coexpression Network	Interactome Network
Pbr011100.1	Pbr030548.1	III	V
Pbr011094.1	Pbr030555.2	III	V
Pbr039560.2	Pbr002391.1	III	V
Pbr039547.1	Pbr002398.1	II	IV
Pbr039540.1	Pbr002402.1	IV	V
Pbr039531.1	Pbr002408.1	III	V
Pbr039521.1	Pbr002417.1	III	V
Pbr039503.1	Pbr002427.2	I	IV
Pbr039502.1	Pbr002432.1	III	V
Pbr016132.1	Pbr022467.1	IV	V
Pbr016137.1	Pbr022471.1	IV	V
Pbr016154.1	Pbr022493.1	IV	V
Pbr016172.1	Pbr022498.1	IV	V
Pbr021326.1	Pbr002405.1	IV	V
Pbr021324.1	Pbr002402.1	IV	V
Pbr025480.1	Pbr012808.1	III	V
Pbr042803.1	Pbr042704.1	III	IV
Pbr042801.1	Pbr042706.1	III	IV
Pbr025466.1	Pbr012822.1	IV	V
Pbr031899.1	Pbr039720.1	IV	III
Pbr031900.1	Pbr039721.1	IV	V
Pbr031905.1	Pbr039725.2	IV	V
Pbr031920.1	Pbr039739.1	III	IV
Pbr031921.1	Pbr039740.1	III	V
Pbr031922.1	Pbr039741.1	III	V
Pbr021437.1	Pbr019399.1	III	V
Pbr021433.1	Pbr019402.1	IV	III
Pbr021429.2	Pbr019409.1	IV	V
Pbr021428.1	Pbr019411.1	IV	V
Pbr021426.1	Pbr019413.2	IV	V
Pbr025496.1	Pbr030952.1	III	IV
Pbr025495.1	Pbr030948.1	III	V
Pbr025469.1	Pbr030921.1	IV	V
Pbr016080.1	Pbr000550.1	IV	V
Pbr016082.1	Pbr000545.1	IV	V
Pbr016084.1	Pbr000544.1	II	V
Pbr016088.1	Pbr000540.1	III	V
Pbr016089.1	Pbr000539.1	IV	V
Pbr016090.1	Pbr000538.1	IV	V
Pbr016095.1	Pbr000531.1	IV	V
Pbr016101.1	Pbr000524.1	III	V
Pbr016102.1	Pbr000523.1	III	V
Pbr016108.1	Pbr000517.1	IV	V
Pbr016111.2	Pbr000515.1	III	V
Pbr016112.1	Pbr000514.1	IV	V
Pbr016113.1	Pbr000513.1	III	V
Pbr016115.2	Pbr000510.1	II	V
Pbr016116.2	Pbr000508.1	II	IV
Pbr016117.2	Pbr000507.1	III	V
Pbr016128.1	Pbr000497.1	IV	II
Pbr016129.1	Pbr000496.1	III	IV
Pbr016132.1	Pbr000493.1	IV	V
Pbr016133.1	Pbr000492.1	IV	V
Pbr016134.1	Pbr000491.1	III	IV
Pbr016136.1	Pbr000489.1	I	II
Pbr016137.1	Pbr000488.1	IV	V
Pbr016144.1	Pbr000479.1	III	IV
Pbr016157.1	Pbr000470.1	III	II
Pbr016158.1	Pbr000469.1	IV	V
Pbr016168.1	Pbr000452.1	III	V
Pbr016169.1	Pbr000451.1	III	IV
Pbr016172.1	Pbr000450.1	IV	V
Pbr016173.2	Pbr000449.1	I	IV
Pbr016174.1	Pbr000445.1	IV	V
Pbr016177.1	Pbr000442.1	IV	III
Pbr016182.1	Pbr000437.1	IV	V
Pbr016189.1	Pbr000430.1	IV	V
Pbr016190.1	Pbr000428.1	III	IV
Pbr016193.1	Pbr000422.1	III	IV
Pbr016201.1	Pbr000415.1	III	V
Pbr016203.1	Pbr000414.1	III	V
Pbr016206.1	Pbr000411.1	IV	V
Pbr016207.1	Pbr000410.1	IV	V
Pbr016210.1	Pbr000408.1	III	V
Pbr016211.1	Pbr000407.1	III	IV
Pbr016212.1	Pbr000406.1	I	IV
Pbr016217.1	Pbr000404.1	IV	V
Pbr016223.1	Pbr000397.1	IV	V
Pbr016224.1	Pbr000396.1	III	V
Pbr016228.1	Pbr000394.1	IV	V
Pbr016232.1	Pbr000390.1	III	V
Pbr016234.1	Pbr000389.1	III	IV
Pbr016236.1	Pbr000385.1	III	V
Pbr016242.1	Pbr000380.1	IV	V
Pbr016243.1	Pbr000378.1	III	V
Pbr016244.1	Pbr000377.1	IV	V
Pbr016245.1	Pbr000376.1	IV	V
Pbr016248.1	Pbr000373.1	III	II
Pbr016249.1	Pbr000372.1	IV	V
Pbr016253.1	Pbr000367.1	IV	V
Pbr016254.1	Pbr000366.1	IV	V
Pbr016255.1	Pbr000365.1	IV	V
Pbr016257.1	Pbr000363.1	IV	V
Pbr016258.1	Pbr000362.1	III	V
Pbr016267.1	Pbr000359.1	III	V
Pbr016268.1	Pbr000358.1	IV	III
Pbr016269.1	Pbr000356.1	IV	V
Pbr016271.1	Pbr000353.1	III	II
Pbr016276.2	Pbr042645.1	IV	V
Pbr031848.1	Pbr000197.1	IV	V
Pbr031856.1	Pbr000190.1	IV	V
Pbr031858.8	Pbr000180.1	I	III
Pbr031862.1	Pbr000178.1	IV	V
Pbr031863.1	Pbr000176.1	IV	III
Pbr031875.1	Pbr000169.1	III	IV
Pbr031876.1	Pbr000168.1	III	V
Pbr031877.1	Pbr000167.1	IV	V
Pbr031880.1	Pbr000165.1	III	V
Pbr031881.1	Pbr000164.1	IV	V
Pbr031884.1	Pbr000163.3	III	II
Pbr031885.1	Pbr000162.1	III	V
Pbr031887.2	Pbr000159.1	IV	V
Pbr031892.1	Pbr000148.1	III	IV
Pbr031897.1	Pbr000144.1	II	IV
Pbr031898.1	Pbr000142.1	III	IV
Pbr031900.1	Pbr000141.1	III	V
Pbr031902.1	Pbr000139.1	IV	V
Pbr031908.1	Pbr000136.1	II	V
Pbr031912.1	Pbr000133.1	IV	V
Pbr031914.1	Pbr000131.1	III	V
Pbr031920.1	Pbr000124.1	III	V
Pbr031923.1	Pbr000121.1	I	IV
Pbr031932.2	Pbr000111.1	III	V
Pbr031934.1	Pbr000108.1	IV	V
Pbr031935.3	Pbr000106.1	III	V
Pbr031936.1	Pbr000104.2	IV	V
Pbr031940.1	Pbr000102.1	III	V
Pbr031941.1	Pbr000101.2	I	V
Pbr031942.1	Pbr000100.1	IV	V
Pbr031949.1	Pbr000096.1	IV	V
Pbr031960.1	Pbr000088.1	III	V
Pbr031964.1	Pbr000083.2	III	IV
Pbr031966.1	Pbr000081.1	III	V
Pbr031967.1	Pbr000080.1	III	V
Pbr031980.1	Pbr000075.1	IV	III
Pbr031981.1	Pbr000074.1	IV	V
Pbr031984.1	Pbr000072.1	IV	V
Pbr031989.1	Pbr000070.1	IV	V
Pbr031991.1	Pbr000069.1	IV	V
Pbr031992.1	Pbr000067.1	III	IV
Pbr011048.1	Pbr025346.1	III	V
Pbr009016.1	Pbr025339.1	II	I
Pbr009023.1	Pbr025332.1	IV	V
Pbr009025.1	Pbr025331.1	III	V
Pbr009029.1	Pbr025327.1	III	V
Pbr009031.1	Pbr025326.2	III	V
Pbr009047.1	Pbr025314.1	IV	V
Pbr009050.1	Pbr025311.1	IV	I
Pbr009054.1	Pbr025305.1	IV	III
Pbr009055.1	Pbr025304.1	IV	III
Pbr009057.1	Pbr025301.2	IV	III
Pbr009058.1	Pbr025300.1	III	IV
Pbr009060.1	Pbr025299.1	IV	V
Pbr009062.1	Pbr025298.1	IV	V
Pbr009065.1	Pbr025294.1	IV	V
Pbr009066.1	Pbr025293.1	IV	V
Pbr009071.1	Pbr025287.1	III	IV
Pbr009072.1	Pbr025285.1	III	IV
Pbr009073.1	Pbr025284.1	IV	V
Pbr009074.1	Pbr025283.1	III	IV
Pbr009075.1	Pbr025281.1	IV	V
Pbr009084.1	Pbr025275.1	III	IV
Pbr009089.1	Pbr025271.1	IV	III
Pbr009091.1	Pbr025262.1	IV	V
Pbr009094.1	Pbr025259.1	IV	V
Pbr009095.1	Pbr025258.1	IV	III
Pbr010207.1	Pbr002498.1	III	V
Pbr010211.1	Pbr002503.1	III	V
Pbr010213.1	Pbr002505.1	III	V
Pbr010214.1	Pbr002506.1	IV	V
Pbr010216.1	Pbr002508.1	IV	V
Pbr010218.1	Pbr002509.1	IV	III
Pbr010224.1	Pbr002513.1	IV	V
Pbr010225.1	Pbr002514.1	IV	V
Pbr010226.1	Pbr002515.1	IV	V
Pbr010231.1	Pbr002519.1	II	V
Pbr010233.1	Pbr002520.1	IV	V
Pbr010240.2	Pbr002524.1	III	V
Pbr010244.1	Pbr002528.1	III	V
Pbr010250.5	Pbr002533.1	IV	V
Pbr010252.1	Pbr002534.1	III	I
Pbr010264.1	Pbr002547.1	III	V
Pbr017625.1	Pbr000056.1	IV	V
Pbr017624.1	Pbr000053.1	III	IV
Pbr017622.1	Pbr000051.1	IV	V
Pbr017620.1	Pbr000049.1	IV	V
Pbr017616.1	Pbr000042.1	IV	V
Pbr017614.1	Pbr000039.1	IV	V
Pbr017612.1	Pbr000037.1	IV	V
Pbr017606.1	Pbr000032.1	IV	V
Pbr017600.1	Pbr000028.1	IV	V
Pbr017594.1	Pbr000024.1	I	III
Pbr017592.1	Pbr000022.1	IV	V
Pbr017591.2	Pbr000021.1	IV	V
Pbr017589.1	Pbr000020.1	IV	I
Pbr017587.1	Pbr000019.1	III	V
Pbr017583.1	Pbr000017.1	IV	V
Pbr017582.1	Pbr000016.1	IV	V
Pbr017581.1	Pbr000014.1	IV	V
Pbr017579.1	Pbr000013.1	IV	V
Pbr017578.1	Pbr000012.1	IV	V
Pbr017576.1	Pbr000010.1	III	IV
Pbr017573.1	Pbr000008.1	III	IV
Pbr017568.1	Pbr000004.1	IV	V
Pbr009909.1	Pbr007044.1	III	IV
Pbr009908.1	Pbr007043.1	III	IV
Pbr009906.1	Pbr007042.2	III	V
Pbr009905.1	Pbr007041.1	III	V
Pbr009904.1	Pbr007039.1	IV	V
Pbr009897.1	Pbr007038.1	IV	V
Pbr009892.1	Pbr007035.1	III	V
Pbr009890.1	Pbr007033.1	IV	II
Pbr009889.1	Pbr007032.1	I	V
Pbr009884.1	Pbr007026.1	IV	V
Pbr009883.1	Pbr007023.1	IV	V
Pbr009877.1	Pbr007018.1	III	IV
Pbr009876.1	Pbr007016.1	IV	V
Pbr009875.1	Pbr007015.1	III	V
Pbr009871.1	Pbr007008.2	IV	V
Pbr009869.1	Pbr007006.1	IV	V
Pbr009867.2	Pbr007005.1	III	V
Pbr009857.1	Pbr006993.1	III	V
Pbr026182.1	Pbr032990.1	IV	V
Pbr025500.1	Pbr033020.1	IV	V
Pbr025499.1	Pbr033021.1	IV	III
Pbr025497.1	Pbr033022.1	III	V
Pbr025496.1	Pbr033025.1	III	V
Pbr025490.1	Pbr033033.1	III	V
Pbr025486.1	Pbr033036.1	IV	V
Pbr025484.1	Pbr033039.2	IV	III
Pbr025483.1	Pbr033040.1	IV	III
Pbr025480.1	Pbr033043.1	IV	V
Pbr025469.1	Pbr033048.1	IV	V
Pbr025462.1	Pbr033066.1	IV	V
Pbr025460.1	Pbr033068.1	III	IV
Pbr025459.1	Pbr033070.2	III	V
Pbr025458.1	Pbr033071.1	IV	V
Pbr021402.1	Pbr032740.1	IV	III
Pbr021400.1	Pbr032742.1	IV	I
Pbr021399.1	Pbr032743.1	IV	V
Pbr021367.1	Pbr042016.1	III	V
Pbr021365.1	Pbr042021.1	I	V
Pbr021364.1	Pbr042022.1	II	III
Pbr021363.1	Pbr042023.1	IV	V
Pbr021362.1	Pbr042026.1	III	IV
Pbr021357.2	Pbr042035.1	III	V
Pbr021352.1	Pbr042038.1	IV	V
Pbr021348.1	Pbr042041.2	III	IV
Pbr021347.1	Pbr042043.1	I	V
Pbr021345.1	Pbr042050.1	III	V
Pbr021340.1	Pbr042058.1	IV	V
Pbr021335.1	Pbr042068.1	III	IV
Pbr011083.1	Pbr026699.1	IV	V
Pbr011080.1	Pbr026696.1	IV	V
Pbr011077.1	Pbr026693.1	IV	V
Pbr011074.1	Pbr026691.1	III	V
Pbr011069.1	Pbr026686.1	III	V
Pbr011068.1	Pbr026684.1	II	IV
Pbr011067.1	Pbr026683.1	III	IV
Pbr011061.1	Pbr026675.1	IV	V
Pbr011056.1	Pbr026672.1	III	IV
Pbr011053.1	Pbr026669.1	III	IV
Pbr011052.1	Pbr026667.2	IV	V
Pbr011048.1	Pbr026661.2	III	V
Pbr039533.1	Pbr000584.3	IV	V
Pbr039531.1	Pbr000581.1	IV	III
Pbr039529.1	Pbr000578.1	III	V
Pbr039524.1	Pbr000574.1	III	V
Pbr039518.2	Pbr000569.2	III	V
Pbr039517.1	Pbr000568.1	III	V
Pbr039516.1	Pbr000567.1	IV	V
Pbr039514.1	Pbr000564.1	III	V
Pbr039509.1	Pbr000561.1	I	V
Pbr039506.1	Pbr000559.1	I	IV
Pbr039503.1	Pbr000556.1	I	IV
Pbr033612.1	Pbr041112.1	III	V
Pbr003810.3	Pbr041084.1	III	V
Pbr038692.1	Pbr041075.1	IV	V
Pbr038686.1	Pbr041070.1	III	V
Pbr038683.3	Pbr041061.1	I	IV
Pbr038682.2	Pbr041060.1	IV	V
Pbr038681.1	Pbr041059.1	IV	V
Pbr038679.1	Pbr041058.1	IV	V
Pbr038678.1	Pbr041057.1	IV	V
Pbr038676.1	Pbr041055.1	IV	V
Pbr038675.1	Pbr041052.1	III	V
Pbr014027.1	Pbr041049.1	IV	V
Pbr020718.1	Pbr027416.1	III	IV
Pbr020712.1	Pbr027408.1	III	II
Pbr020709.1	Pbr027402.1	IV	III
Pbr020708.1	Pbr027400.1	IV	V
Pbr020707.1	Pbr027399.1	III	V
Pbr032125.2	Pbr023956.1	IV	V
Pbr032128.3	Pbr023960.1	IV	V
Pbr032137.1	Pbr023977.1	IV	V
Pbr032139.1	Pbr023978.1	IV	V
Pbr025865.1	Pbr032908.1	IV	V
Pbr025867.1	Pbr032910.1	IV	V
Pbr025868.1	Pbr032911.1	IV	V
Pbr025872.1	Pbr032914.1	III	I
Pbr025873.1	Pbr032916.1	III	IV
Pbr025874.1	Pbr032917.1	III	V
Pbr025876.1	Pbr032920.1	IV	V
Pbr025879.1	Pbr032932.2	IV	I
Pbr036332.1	Pbr010511.1	III	V
Pbr036338.1	Pbr010513.1	IV	V
Pbr036340.1	Pbr010521.1	III	V
Pbr036342.2	Pbr010528.1	III	IV
Pbr036347.1	Pbr010533.1	III	IV
Pbr022354.1	Pbr038972.1	II	IV
Pbr022359.1	Pbr038974.2	III	IV
Pbr022361.1	Pbr038976.1	IV	V
Pbr022362.1	Pbr038978.1	IV	V
Pbr022367.1	Pbr038983.1	III	IV
Pbr027170.2	Pbr025671.1	III	IV
Pbr027172.1	Pbr025673.1	IV	V
Pbr027181.1	Pbr025680.1	II	IV
Pbr027183.1	Pbr025681.1	IV	V
Pbr027184.1	Pbr025682.1	IV	V
Pbr001481.2	Pbr025249.4	IV	V
Pbr001482.1	Pbr025248.1	III	V
Pbr001483.1	Pbr025247.1	III	V
Pbr001484.1	Pbr025245.1	IV	V
Pbr001486.1	Pbr025243.1	IV	V
Pbr001487.1	Pbr025240.1	III	V
Pbr001489.1	Pbr025237.1	III	V
Pbr009909.1	Pbr023274.1	IV	III
Pbr009908.1	Pbr023275.1	III	IV
Pbr009906.1	Pbr023276.1	IV	V
Pbr009884.1	Pbr036760.1	III	V
Pbr009883.1	Pbr036762.1	IV	III
Pbr009882.1	Pbr036763.1	IV	V
Pbr009877.1	Pbr036766.1	III	IV
Pbr009875.1	Pbr036768.1	III	V
Pbr014945.1	Pbr003773.1	IV	V
Pbr014944.1	Pbr003775.1	IV	V
Pbr014939.1	Pbr003782.1	IV	V
Pbr022369.1	Pbr023244.1	II	V
Pbr022371.1	Pbr023249.1	III	V
Pbr022378.1	Pbr023254.1	III	V
Pbr022379.1	Pbr023255.1	IV	V
Pbr024182.1	Pbr031385.1	IV	V
Pbr024180.1	Pbr031383.1	III	IV
Pbr014930.1	Pbr031389.1	IV	V
Pbr014928.1	Pbr031387.1	IV	V
Pbr014926.1	Pbr031385.1	III	IV
Pbr014925.1	Pbr031384.1	IV	V
Pbr014922.1	Pbr031382.1	III	V
Pbr015796.2	Pbr001228.1	III	V
Pbr015797.1	Pbr001229.1	III	V
Pbr015800.1	Pbr001232.1	III	V
Pbr015802.1	Pbr001233.1	IV	III
Pbr015803.1	Pbr001234.1	IV	V
Pbr021604.1	Pbr031626.1	III	V
Pbr021602.1	Pbr031628.1	III	V
Pbr024173.1	Pbr035617.1	IV	V
Pbr024170.1	Pbr035614.1	IV	V
Pbr024169.1	Pbr035613.1	IV	III
Pbr024168.1	Pbr035612.1	III	V
Pbr024167.1	Pbr035611.1	III	V
Pbr024164.1	Pbr035604.1	IV	V
Pbr024158.1	Pbr035597.1	IV	V
Pbr024157.1	Pbr035596.1	IV	V
Pbr024145.1	Pbr035588.1	IV	V
Pbr024141.1	Pbr035577.1	III	V
Pbr024139.1	Pbr035574.1	III	IV
Pbr011114.1	Pbr025340.1	IV	V
Pbr011110.2	Pbr025347.1	IV	V
Pbr011100.1	Pbr025356.1	IV	V
Pbr011098.1	Pbr025357.1	IV	V
Pbr011097.1	Pbr025358.1	III	IV
Pbr011096.1	Pbr025359.1	IV	V
Pbr011094.1	Pbr025361.1	III	IV
Pbr011092.1	Pbr025363.1	IV	V
Pbr021326.1	Pbr042128.1	IV	V
Pbr037471.1	Pbr042118.1	IV	V
Pbr037473.1	Pbr042117.1	IV	V
Pbr037479.1	Pbr042108.1	III	V
Pbr037481.1	Pbr042106.1	IV	V
Pbr037482.1	Pbr042105.1	III	V
Pbr037485.1	Pbr042103.1	III	IV
Pbr037486.1	Pbr042102.1	III	V
Pbr037490.1	Pbr042098.1	III	V
Pbr031576.1	Pbr002498.1	III	V
Pbr031578.1	Pbr002495.1	IV	V
Pbr031586.1	Pbr002491.1	IV	V
Pbr031588.1	Pbr002489.1	III	V
Pbr031592.1	Pbr002484.1	III	IV
Pbr031594.1	Pbr002482.1	IV	V
Pbr031597.1	Pbr002480.1	IV	V
Pbr031602.1	Pbr002476.1	IV	V
Pbr031604.1	Pbr002472.1	II	V
Pbr019464.1	Pbr030474.1	III	IV
Pbr019471.1	Pbr030472.1	III	V
Pbr019473.1	Pbr030468.1	IV	V
Pbr019476.1	Pbr030467.1	IV	V
Pbr019479.1	Pbr030465.1	I	V
Pbr019484.1	Pbr030463.1	III	V
Pbr019491.1	Pbr030455.1	III	IV
Pbr019493.1	Pbr030453.1	IV	V
Pbr031791.1	Pbr002563.1	III	IV
Pbr031796.1	Pbr002558.1	III	IV
Pbr031798.1	Pbr002556.1	III	IV
Pbr031799.1	Pbr002555.1	I	V
Pbr031800.1	Pbr002554.1	III	V
Pbr031802.1	Pbr002552.1	III	V
Pbr031806.1	Pbr002549.1	III	V
Pbr031807.1	Pbr002548.1	III	V
Pbr031810.1	Pbr002545.1	III	V
Pbr038487.1	Pbr000037.1	IV	V
Pbr038488.1	Pbr000038.1	IV	V
Pbr038489.1	Pbr000039.1	IV	V
Pbr038491.1	Pbr000042.1	III	IV
Pbr038494.1	Pbr000044.1	III	IV
Pbr038498.1	Pbr000049.1	IV	III
Pbr038502.1	Pbr000052.1	III	V
Pbr038504.1	Pbr000056.1	IV	V
Pbr021482.1	Pbr002491.1	IV	V
Pbr021480.1	Pbr002489.1	III	V
Pbr021477.1	Pbr002485.1	IV	V
Pbr021476.3	Pbr002484.1	III	V
Pbr021469.1	Pbr002477.1	IV	V
Pbr021467.1	Pbr002476.1	IV	V
Pbr021464.1	Pbr002471.4	III	IV
Pbr021614.1	Pbr031627.1	III	V
Pbr021610.1	Pbr031624.1	IV	I
Pbr021598.1	Pbr041179.1	III	V
Pbr021594.1	Pbr041174.1	III	V
Pbr039367.1	Pbr010040.2	IV	V
Pbr039366.2	Pbr010041.1	III	IV
Pbr039365.1	Pbr010042.1	IV	III
Pbr039359.1	Pbr010044.1	III	V
Pbr039351.1	Pbr010045.1	III	IV
Pbr039350.1	Pbr010046.1	III	V
Pbr039349.1	Pbr010047.1	III	IV
Pbr039348.1	Pbr010048.1	IV	V
Pbr039345.1	Pbr010050.1	IV	V
Pbr032125.2	Pbr033301.2	III	V
Pbr032126.1	Pbr033300.1	III	V
Pbr032129.1	Pbr033294.1	III	V
Pbr032132.1	Pbr033289.1	III	V
Pbr032135.1	Pbr033278.1	IV	V
Pbr032137.1	Pbr033276.1	III	IV
Pbr031365.1	Pbr002557.1	IV	V
Pbr031367.1	Pbr002555.1	I	V
Pbr031369.1	Pbr002551.1	IV	V
Pbr031371.1	Pbr002550.1	III	V
Pbr031372.1	Pbr002549.1	III	V
Pbr031373.1	Pbr002548.1	IV	V
Pbr014917.1	Pbr035617.1	IV	V
Pbr014915.1	Pbr035615.1	IV	V
Pbr014913.1	Pbr035613.1	IV	V
Pbr014912.1	Pbr035612.1	IV	V
Pbr014911.1	Pbr035611.1	IV	V
Pbr040277.1	Pbr016357.1	IV	V
Pbr040278.1	Pbr016359.3	IV	V
Pbr040281.1	Pbr016362.1	III	V
Pbr040283.1	Pbr016363.1	IV	III
Pbr040285.1	Pbr016365.1	IV	V
Pbr040289.1	Pbr016375.1	IV	V
Pbr033627.1	Pbr041085.1	III	V
Pbr033623.1	Pbr041090.1	IV	V
Pbr033620.1	Pbr041093.1	I	III
Pbr033616.1	Pbr041099.1	IV	V
Pbr033613.1	Pbr041103.2	IV	V
Pbr034996.1	Pbr025698.1	III	V
Pbr035007.1	Pbr025686.1	IV	V
Pbr035009.1	Pbr025685.1	III	I
Pbr031652.1	Pbr027376.1	IV	V
Pbr031645.1	Pbr027379.1	IV	V
Pbr031643.1	Pbr027380.1	IV	V
Pbr031639.1	Pbr027384.1	IV	V
Pbr031638.1	Pbr027386.1	III	IV
Pbr031635.1	Pbr027388.1	IV	V
Pbr004470.1	Pbr002571.2	IV	V
Pbr010210.1	Pbr002549.1	III	V
Pbr010218.1	Pbr002540.1	II	V
Pbr008707.1	Pbr032967.1	IV	V
Pbr008709.1	Pbr032966.1	IV	V
Pbr010267.1	Pbr002545.1	III	V
Pbr010273.1	Pbr002540.1	IV	V
Pbr010274.1	Pbr002539.1	III	V
Pbr010275.2	Pbr002538.1	IV	V
Pbr009824.1	Pbr010513.1	III	V
Pbr009829.1	Pbr010511.1	III	V
Pbr009835.1	Pbr010503.2	IV	V
Pbr009837.1	Pbr010501.1	III	V
Pbr042225.1	Pbr023258.2	IV	V
Pbr042226.1	Pbr023257.1	III	V
Pbr042229.1	Pbr023255.1	III	V
Pbr042230.1	Pbr023254.1	IV	V
Pbr042232.1	Pbr023253.1	III	V
Pbr015820.1	Pbr019591.1	IV	V
Pbr015821.1	Pbr019590.1	IV	III
Pbr015823.1	Pbr019589.1	IV	I
Pbr015826.1	Pbr019588.1	III	V
Pbr015827.1	Pbr019586.3	IV	V
Pbr020741.1	Pbr027416.1	IV	V
Pbr026299.1	Pbr025526.1	IV	V
Pbr039573.1	Pbr029632.1	IV	V
Pbr039572.1	Pbr029634.1	III	V
Pbr039546.1	Pbr029648.1	III	V
Pbr039540.1	Pbr029649.1	III	V
Pbr039531.1	Pbr029655.1	III	IV
Pbr039503.1	Pbr029686.2	IV	III
Pbr039502.1	Pbr029692.1	III	V
Pbr031920.1	Pbr041810.1	IV	V
Pbr031922.1	Pbr041812.1	IV	V
Pbr031941.1	Pbr005158.1	I	V
Pbr031942.1	Pbr005159.1	IV	V
Pbr031967.1	Pbr005190.1	IV	V
Pbr031969.1	Pbr005200.1	IV	V
Pbr012464.1	Pbr019179.1	IV	V
Pbr012461.1	Pbr019181.1	III	IV
Pbr012460.1	Pbr019182.1	IV	V
Pbr012459.2	Pbr019184.1	III	V
Pbr012457.1	Pbr019187.1	III	V
Pbr012454.1	Pbr019189.1	IV	V
Pbr031900.1	Pbr018106.1	III	V
Pbr031920.1	Pbr018120.1	III	IV
Pbr031921.1	Pbr018121.1	IV	V
Pbr031922.1	Pbr018122.1	IV	V
Pbr039851.1	Pbr017870.1	IV	V
Pbr039852.1	Pbr017869.1	I	IV
Pbr039855.1	Pbr017866.1	III	V
Pbr039857.1	Pbr017863.1	IV	V
Pbr016090.1	Pbr005379.1	IV	V
Pbr016101.1	Pbr005389.1	IV	V
Pbr015784.1	Pbr001846.1	IV	V
Pbr015790.1	Pbr001840.1	III	V
Pbr015791.1	Pbr001839.1	I	V
Pbr018234.1	Pbr003264.1	III	V
Pbr031848.1	Pbr004718.1	III	V
Pbr031849.1	Pbr004717.1	IV	V
Pbr031850.1	Pbr004716.1	IV	V
Pbr031851.1	Pbr004715.1	IV	V
Pbr011114.1	Pbr023055.1	IV	V
Pbr011111.1	Pbr023052.1	IV	V
Pbr011108.1	Pbr023049.1	IV	V
Pbr011104.1	Pbr023045.1	IV	V
Pbr018221.1	Pbr030148.1	IV	V
Pbr018223.1	Pbr030151.1	III	V
Pbr018224.1	Pbr030152.2	IV	V
Pbr018227.1	Pbr030156.1	III	V
Pbr018228.1	Pbr030157.2	IV	V
Pbr031835.1	Pbr032414.1	IV	V
Pbr031845.1	Pbr032420.1	IV	V
Pbr031849.1	Pbr032425.1	IV	V
Pbr031850.1	Pbr032426.1	I	III
Pbr031851.1	Pbr032427.1	IV	V
Pbr031852.2	Pbr032428.1	III	IV
Pbr031855.1	Pbr032431.1	III	V
Pbr031856.1	Pbr032432.1	I	V
Pbr031857.1	Pbr032433.1	III	V
Pbr031858.8	Pbr032434.9	I	IV
Pbr031859.1	Pbr032435.1	III	IV
Pbr031862.1	Pbr032438.1	III	IV
Pbr039352.1	Pbr035205.1	III	IV
Pbr039351.1	Pbr035206.1	IV	V
Pbr039349.1	Pbr035207.3	IV	V
Pbr039348.1	Pbr035208.1	IV	V
Pbr039345.1	Pbr035210.1	III	V
Pbr039338.1	Pbr035216.1	IV	V
Pbr018770.1	Pbr036745.1	IV	V
Pbr018773.1	Pbr036746.1	IV	III
Pbr018776.1	Pbr036750.1	II	V
Pbr018778.1	Pbr036755.1	III	V
Pbr001481.2	Pbr037261.2	IV	V
Pbr001483.1	Pbr037260.1	IV	V
Pbr001484.1	Pbr037259.1	III	V
Pbr001491.1	Pbr037249.1	IV	V
Pbr001494.1	Pbr037245.1	III	V
Pbr001495.1	Pbr037244.1	III	V
Pbr031877.1	Pbr039315.2	III	V
Pbr031878.1	Pbr039316.1	IV	V
Pbr031880.1	Pbr039317.1	IV	V
Pbr031884.1	Pbr039319.2	III	V
Pbr031885.1	Pbr039320.1	III	V
Pbr031887.2	Pbr039322.2	IV	III
Pbr016246.1	Pbr041308.1	IV	III
Pbr016248.1	Pbr041311.1	III	V
Pbr016249.1	Pbr041312.1	IV	III
Pbr016250.1	Pbr041313.1	IV	V
Pbr016251.1	Pbr041314.1	IV	V
Pbr041371.1	Pbr027988.1	IV	V
Pbr041372.1	Pbr027989.1	I	V
Pbr041377.1	Pbr027994.1	IV	V
Pbr041380.1	Pbr027997.1	III	V
Pbr041384.1	Pbr028001.1	III	IV
Pbr041385.1	Pbr028002.1	IV	V
Pbr011621.1	Pbr033748.1	III	IV
Pbr011625.1	Pbr033747.1	IV	V
Pbr011628.1	Pbr033746.1	III	V
Pbr011632.1	Pbr033744.1	IV	V
Pbr009972.1	Pbr035269.1	IV	V
Pbr004519.1	Pbr004586.1	III	V
Pbr004522.1	Pbr004583.1	III	V
Pbr004524.1	Pbr004581.1	III	V
Pbr004530.1	Pbr004578.1	III	IV
Pbr004537.1	Pbr004572.1	IV	V
Pbr004538.1	Pbr004571.1	III	V
Pbr004542.1	Pbr004567.1	IV	V
Pbr004544.1	Pbr004565.1	II	V
Pbr008975.1	Pbr008993.1	I	V
Pbr008982.1	Pbr008987.1	I	V
Pbr008965.1	Pbr008980.1	III	V
Pbr008966.1	Pbr008978.1	I	V
Pbr017913.2	Pbr032166.1	IV	V
Pbr017914.1	Pbr032164.1	III	V
Pbr017916.1	Pbr032161.1	IV	V
Pbr032155.1	Pbr032160.2	IV	V
Pbr001151.1	Pbr017770.1	IV	V
Pbr036597.1	Pbr017779.2	III	IV
Pbr035029.1	Pbr017787.1	IV	III
Pbr029505.1	Pbr017796.1	III	V
Pbr027977.1	Pbr005488.1	III	IV
